"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
100000 -1127.0000000000 -641.0000000000 -1127.0000000000 -641.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1469.0000000000 -1469.0000000000 -1469.0000000000 -1469.0000000000
2 -1332.0000000000 -1332.0000000000 -1332.0000000000 -1332.0000000000
4 -1176.0000000000 -1176.0000000000 -1176.0000000000 -1176.0000000000
12 -1128.0000000000 -1128.0000000000 -1128.0000000000 -1128.0000000000
16 -1040.0000000000 -1040.0000000000 -1040.0000000000 -1040.0000000000
37 -923.0000000000 -923.0000000000 -923.0000000000 -923.0000000000
79 -786.0000000000 -786.0000000000 -786.0000000000 -786.0000000000
7862 -777.0000000000 -777.0000000000 -777.0000000000 -777.0000000000
20288 -612.0000000000 -612.0000000000 -612.0000000000 -612.0000000000
24114 -611.0000000000 -611.0000000000 -611.0000000000 -611.0000000000
100000 -1127.0000000000 -611.0000000000 -1127.0000000000 -611.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1624.0000000000 -1624.0000000000 -1624.0000000000 -1624.0000000000
2 -1566.0000000000 -1566.0000000000 -1566.0000000000 -1566.0000000000
3 -1410.0000000000 -1410.0000000000 -1410.0000000000 -1410.0000000000
4 -1400.0000000000 -1400.0000000000 -1400.0000000000 -1400.0000000000
6 -1224.0000000000 -1224.0000000000 -1224.0000000000 -1224.0000000000
14 -991.0000000000 -991.0000000000 -991.0000000000 -991.0000000000
267 -904.0000000000 -904.0000000000 -904.0000000000 -904.0000000000
331 -738.0000000000 -738.0000000000 -738.0000000000 -738.0000000000
39669 -670.0000000000 -670.0000000000 -670.0000000000 -670.0000000000
100000 -1303.0000000000 -670.0000000000 -1303.0000000000 -670.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1176.0000000000 -1176.0000000000 -1176.0000000000 -1176.0000000000
2 -1118.0000000000 -1118.0000000000 -1118.0000000000 -1118.0000000000
10 -1069.0000000000 -1069.0000000000 -1069.0000000000 -1069.0000000000
20 -1020.0000000000 -1020.0000000000 -1020.0000000000 -1020.0000000000
90 -903.0000000000 -903.0000000000 -903.0000000000 -903.0000000000
223 -875.0000000000 -875.0000000000 -875.0000000000 -875.0000000000
296 -835.0000000000 -835.0000000000 -835.0000000000 -835.0000000000
750 -757.0000000000 -757.0000000000 -757.0000000000 -757.0000000000
6172 -680.0000000000 -680.0000000000 -680.0000000000 -680.0000000000
55015 -679.0000000000 -679.0000000000 -679.0000000000 -679.0000000000
100000 -1546.0000000000 -679.0000000000 -1546.0000000000 -679.0000000000
