"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
237 63.0000000000 63.0000000000 63.0000000000 63.0000000000
253 65.0000000000 65.0000000000 65.0000000000 65.0000000000
989 66.0000000000 66.0000000000 66.0000000000 66.0000000000
1257 67.0000000000 67.0000000000 67.0000000000 67.0000000000
3989 68.0000000000 68.0000000000 68.0000000000 68.0000000000
4365 69.0000000000 69.0000000000 69.0000000000 69.0000000000
22827 71.0000000000 71.0000000000 71.0000000000 71.0000000000
100000 60.0000000000 71.0000000000 60.0000000000 71.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 51.0000000000 51.0000000000 51.0000000000 51.0000000000
6 54.0000000000 54.0000000000 54.0000000000 54.0000000000
24 62.0000000000 62.0000000000 62.0000000000 62.0000000000
91 63.0000000000 63.0000000000 63.0000000000 63.0000000000
901 65.0000000000 65.0000000000 65.0000000000 65.0000000000
1052 66.0000000000 66.0000000000 66.0000000000 66.0000000000
1965 70.0000000000 70.0000000000 70.0000000000 70.0000000000
2141 71.0000000000 71.0000000000 71.0000000000 71.0000000000
100000 46.0000000000 71.0000000000 46.0000000000 71.0000000000
