"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
337 -70.0000000000 -70.0000000000 -70.0000000000 -70.0000000000
355 -51.0000000000 -51.0000000000 -51.0000000000 -51.0000000000
374 -32.0000000000 -32.0000000000 -32.0000000000 -32.0000000000
383 -13.0000000000 -13.0000000000 -13.0000000000 -13.0000000000
405 -12.0000000000 -12.0000000000 -12.0000000000 -12.0000000000
409 -3.0000000000 -3.0000000000 -3.0000000000 -3.0000000000
429 -2.0000000000 -2.0000000000 -2.0000000000 -2.0000000000
493 7.0000000000 7.0000000000 7.0000000000 7.0000000000
546 8.0000000000 8.0000000000 8.0000000000 8.0000000000
701 9.0000000000 9.0000000000 9.0000000000 9.0000000000
100001 9.0000000000 9.0000000000 9.0000000000 9.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1381.0000000000 -1381.0000000000 -1381.0000000000 -1381.0000000000
4 -1342.0000000000 -1342.0000000000 -1342.0000000000 -1342.0000000000
14 -1264.0000000000 -1264.0000000000 -1264.0000000000 -1264.0000000000
15 -1225.0000000000 -1225.0000000000 -1225.0000000000 -1225.0000000000
16 -1186.0000000000 -1186.0000000000 -1186.0000000000 -1186.0000000000
17 -1147.0000000000 -1147.0000000000 -1147.0000000000 -1147.0000000000
18 -1118.0000000000 -1118.0000000000 -1118.0000000000 -1118.0000000000
24 -1050.0000000000 -1050.0000000000 -1050.0000000000 -1050.0000000000
28 -1011.0000000000 -1011.0000000000 -1011.0000000000 -1011.0000000000
32 -933.0000000000 -933.0000000000 -933.0000000000 -933.0000000000
35 -894.0000000000 -894.0000000000 -894.0000000000 -894.0000000000
41 -855.0000000000 -855.0000000000 -855.0000000000 -855.0000000000
46 -816.0000000000 -816.0000000000 -816.0000000000 -816.0000000000
68 -797.0000000000 -797.0000000000 -797.0000000000 -797.0000000000
76 -768.0000000000 -768.0000000000 -768.0000000000 -768.0000000000
80 -739.0000000000 -739.0000000000 -739.0000000000 -739.0000000000
86 -700.0000000000 -700.0000000000 -700.0000000000 -700.0000000000
88 -661.0000000000 -661.0000000000 -661.0000000000 -661.0000000000
93 -632.0000000000 -632.0000000000 -632.0000000000 -632.0000000000
96 -622.0000000000 -622.0000000000 -622.0000000000 -622.0000000000
100 -593.0000000000 -593.0000000000 -593.0000000000 -593.0000000000
102 -554.0000000000 -554.0000000000 -554.0000000000 -554.0000000000
107 -525.0000000000 -525.0000000000 -525.0000000000 -525.0000000000
112 -515.0000000000 -515.0000000000 -515.0000000000 -515.0000000000
122 -447.0000000000 -447.0000000000 -447.0000000000 -447.0000000000
127 -437.0000000000 -437.0000000000 -437.0000000000 -437.0000000000
137 -398.0000000000 -398.0000000000 -398.0000000000 -398.0000000000
154 -359.0000000000 -359.0000000000 -359.0000000000 -359.0000000000
164 -311.0000000000 -311.0000000000 -311.0000000000 -311.0000000000
173 -291.0000000000 -291.0000000000 -291.0000000000 -291.0000000000
175 -262.0000000000 -262.0000000000 -262.0000000000 -262.0000000000
176 -233.0000000000 -233.0000000000 -233.0000000000 -233.0000000000
191 -224.0000000000 -224.0000000000 -224.0000000000 -224.0000000000
213 -205.0000000000 -205.0000000000 -205.0000000000 -205.0000000000
265 -195.0000000000 -195.0000000000 -195.0000000000 -195.0000000000
281 -176.0000000000 -176.0000000000 -176.0000000000 -176.0000000000
289 -167.0000000000 -167.0000000000 -167.0000000000 -167.0000000000
297 -128.0000000000 -128.0000000000 -128.0000000000 -128.0000000000
319 -99.0000000000 -99.0000000000 -99.0000000000 -99.0000000000
326 -80.0000000000 -80.0000000000 -80.0000000000 -80.0000000000
340 -61.0000000000 -61.0000000000 -61.0000000000 -61.0000000000
367 -60.0000000000 -60.0000000000 -60.0000000000 -60.0000000000
368 -59.0000000000 -59.0000000000 -59.0000000000 -59.0000000000
379 -50.0000000000 -50.0000000000 -50.0000000000 -50.0000000000
422 -31.0000000000 -31.0000000000 -31.0000000000 -31.0000000000
483 -12.0000000000 -12.0000000000 -12.0000000000 -12.0000000000
499 -11.0000000000 -11.0000000000 -11.0000000000 -11.0000000000
562 -2.0000000000 -2.0000000000 -2.0000000000 -2.0000000000
614 -1.0000000000 -1.0000000000 -1.0000000000 -1.0000000000
648 8.0000000000 8.0000000000 8.0000000000 8.0000000000
661 9.0000000000 9.0000000000 9.0000000000 9.0000000000
100001 -20.0000000000 9.0000000000 -20.0000000000 9.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1283.0000000000 -1283.0000000000 -1283.0000000000 -1283.0000000000
4 -1244.0000000000 -1244.0000000000 -1244.0000000000 -1244.0000000000
11 -1205.0000000000 -1205.0000000000 -1205.0000000000 -1205.0000000000
14 -1147.0000000000 -1147.0000000000 -1147.0000000000 -1147.0000000000
16 -1118.0000000000 -1118.0000000000 -1118.0000000000 -1118.0000000000
18 -1079.0000000000 -1079.0000000000 -1079.0000000000 -1079.0000000000
19 -1040.0000000000 -1040.0000000000 -1040.0000000000 -1040.0000000000
20 -1001.0000000000 -1001.0000000000 -1001.0000000000 -1001.0000000000
22 -962.0000000000 -962.0000000000 -962.0000000000 -962.0000000000
25 -894.0000000000 -894.0000000000 -894.0000000000 -894.0000000000
30 -855.0000000000 -855.0000000000 -855.0000000000 -855.0000000000
36 -826.0000000000 -826.0000000000 -826.0000000000 -826.0000000000
38 -787.0000000000 -787.0000000000 -787.0000000000 -787.0000000000
42 -748.0000000000 -748.0000000000 -748.0000000000 -748.0000000000
46 -738.0000000000 -738.0000000000 -738.0000000000 -738.0000000000
47 -728.0000000000 -728.0000000000 -728.0000000000 -728.0000000000
49 -709.0000000000 -709.0000000000 -709.0000000000 -709.0000000000
50 -670.0000000000 -670.0000000000 -670.0000000000 -670.0000000000
51 -651.0000000000 -651.0000000000 -651.0000000000 -651.0000000000
59 -622.0000000000 -622.0000000000 -622.0000000000 -622.0000000000
60 -583.0000000000 -583.0000000000 -583.0000000000 -583.0000000000
61 -554.0000000000 -554.0000000000 -554.0000000000 -554.0000000000
66 -525.0000000000 -525.0000000000 -525.0000000000 -525.0000000000
76 -486.0000000000 -486.0000000000 -486.0000000000 -486.0000000000
82 -457.0000000000 -457.0000000000 -457.0000000000 -457.0000000000
89 -389.0000000000 -389.0000000000 -389.0000000000 -389.0000000000
118 -360.0000000000 -360.0000000000 -360.0000000000 -360.0000000000
127 -350.0000000000 -350.0000000000 -350.0000000000 -350.0000000000
130 -311.0000000000 -311.0000000000 -311.0000000000 -311.0000000000
132 -282.0000000000 -282.0000000000 -282.0000000000 -282.0000000000
152 -253.0000000000 -253.0000000000 -253.0000000000 -253.0000000000
156 -234.0000000000 -234.0000000000 -234.0000000000 -234.0000000000
159 -214.0000000000 -214.0000000000 -214.0000000000 -214.0000000000
180 -175.0000000000 -175.0000000000 -175.0000000000 -175.0000000000
185 -166.0000000000 -166.0000000000 -166.0000000000 -166.0000000000
192 -157.0000000000 -157.0000000000 -157.0000000000 -157.0000000000
194 -137.0000000000 -137.0000000000 -137.0000000000 -137.0000000000
222 -118.0000000000 -118.0000000000 -118.0000000000 -118.0000000000
232 -109.0000000000 -109.0000000000 -109.0000000000 -109.0000000000
235 -80.0000000000 -80.0000000000 -80.0000000000 -80.0000000000
253 -71.0000000000 -71.0000000000 -71.0000000000 -71.0000000000
256 -70.0000000000 -70.0000000000 -70.0000000000 -70.0000000000
257 -51.0000000000 -51.0000000000 -51.0000000000 -51.0000000000
282 -42.0000000000 -42.0000000000 -42.0000000000 -42.0000000000
297 -23.0000000000 -23.0000000000 -23.0000000000 -23.0000000000
342 -4.0000000000 -4.0000000000 -4.0000000000 -4.0000000000
352 -3.0000000000 -3.0000000000 -3.0000000000 -3.0000000000
400 -2.0000000000 -2.0000000000 -2.0000000000 -2.0000000000
462 -1.0000000000 -1.0000000000 -1.0000000000 -1.0000000000
497 8.0000000000 8.0000000000 8.0000000000 8.0000000000
625 9.0000000000 9.0000000000 9.0000000000 9.0000000000
68964 10.0000000000 10.0000000000 10.0000000000 10.0000000000
100001 -58.0000000000 10.0000000000 -58.0000000000 10.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1585.0000000000 -1585.0000000000 -1585.0000000000 -1585.0000000000
7 -1517.0000000000 -1517.0000000000 -1517.0000000000 -1517.0000000000
10 -1478.0000000000 -1478.0000000000 -1478.0000000000 -1478.0000000000
11 -1439.0000000000 -1439.0000000000 -1439.0000000000 -1439.0000000000
12 -1400.0000000000 -1400.0000000000 -1400.0000000000 -1400.0000000000
25 -1322.0000000000 -1322.0000000000 -1322.0000000000 -1322.0000000000
29 -1254.0000000000 -1254.0000000000 -1254.0000000000 -1254.0000000000
31 -1215.0000000000 -1215.0000000000 -1215.0000000000 -1215.0000000000
35 -1176.0000000000 -1176.0000000000 -1176.0000000000 -1176.0000000000
48 -1137.0000000000 -1137.0000000000 -1137.0000000000 -1137.0000000000
50 -1108.0000000000 -1108.0000000000 -1108.0000000000 -1108.0000000000
52 -1030.0000000000 -1030.0000000000 -1030.0000000000 -1030.0000000000
59 -1020.0000000000 -1020.0000000000 -1020.0000000000 -1020.0000000000
66 -991.0000000000 -991.0000000000 -991.0000000000 -991.0000000000
71 -952.0000000000 -952.0000000000 -952.0000000000 -952.0000000000
78 -913.0000000000 -913.0000000000 -913.0000000000 -913.0000000000
84 -884.0000000000 -884.0000000000 -884.0000000000 -884.0000000000
90 -845.0000000000 -845.0000000000 -845.0000000000 -845.0000000000
91 -816.0000000000 -816.0000000000 -816.0000000000 -816.0000000000
94 -777.0000000000 -777.0000000000 -777.0000000000 -777.0000000000
97 -738.0000000000 -738.0000000000 -738.0000000000 -738.0000000000
102 -699.0000000000 -699.0000000000 -699.0000000000 -699.0000000000
104 -660.0000000000 -660.0000000000 -660.0000000000 -660.0000000000
106 -621.0000000000 -621.0000000000 -621.0000000000 -621.0000000000
126 -592.0000000000 -592.0000000000 -592.0000000000 -592.0000000000
128 -563.0000000000 -563.0000000000 -563.0000000000 -563.0000000000
130 -524.0000000000 -524.0000000000 -524.0000000000 -524.0000000000
146 -466.0000000000 -466.0000000000 -466.0000000000 -466.0000000000
151 -447.0000000000 -447.0000000000 -447.0000000000 -447.0000000000
169 -418.0000000000 -418.0000000000 -418.0000000000 -418.0000000000
182 -408.0000000000 -408.0000000000 -408.0000000000 -408.0000000000
184 -350.0000000000 -350.0000000000 -350.0000000000 -350.0000000000
197 -321.0000000000 -321.0000000000 -321.0000000000 -321.0000000000
200 -292.0000000000 -292.0000000000 -292.0000000000 -292.0000000000
204 -272.0000000000 -272.0000000000 -272.0000000000 -272.0000000000
214 -224.0000000000 -224.0000000000 -224.0000000000 -224.0000000000
220 -205.0000000000 -205.0000000000 -205.0000000000 -205.0000000000
222 -137.0000000000 -137.0000000000 -137.0000000000 -137.0000000000
234 -136.0000000000 -136.0000000000 -136.0000000000 -136.0000000000
239 -117.0000000000 -117.0000000000 -117.0000000000 -117.0000000000
273 -99.0000000000 -99.0000000000 -99.0000000000 -99.0000000000
279 -98.0000000000 -98.0000000000 -98.0000000000 -98.0000000000
303 -79.0000000000 -79.0000000000 -79.0000000000 -79.0000000000
310 -69.0000000000 -69.0000000000 -69.0000000000 -69.0000000000
332 -60.0000000000 -60.0000000000 -60.0000000000 -60.0000000000
338 -59.0000000000 -59.0000000000 -59.0000000000 -59.0000000000
353 -21.0000000000 -21.0000000000 -21.0000000000 -21.0000000000
370 -12.0000000000 -12.0000000000 -12.0000000000 -12.0000000000
373 -3.0000000000 -3.0000000000 -3.0000000000 -3.0000000000
385 -2.0000000000 -2.0000000000 -2.0000000000 -2.0000000000
424 7.0000000000 7.0000000000 7.0000000000 7.0000000000
568 8.0000000000 8.0000000000 8.0000000000 8.0000000000
663 9.0000000000 9.0000000000 9.0000000000 9.0000000000
100001 9.0000000000 9.0000000000 9.0000000000 9.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1556.0000000000 -1556.0000000000 -1556.0000000000 -1556.0000000000
2 -1517.0000000000 -1517.0000000000 -1517.0000000000 -1517.0000000000
3 -1478.0000000000 -1478.0000000000 -1478.0000000000 -1478.0000000000
5 -1410.0000000000 -1410.0000000000 -1410.0000000000 -1410.0000000000
7 -1371.0000000000 -1371.0000000000 -1371.0000000000 -1371.0000000000
11 -1303.0000000000 -1303.0000000000 -1303.0000000000 -1303.0000000000
14 -1245.0000000000 -1245.0000000000 -1245.0000000000 -1245.0000000000
21 -1206.0000000000 -1206.0000000000 -1206.0000000000 -1206.0000000000
23 -1167.0000000000 -1167.0000000000 -1167.0000000000 -1167.0000000000
25 -1128.0000000000 -1128.0000000000 -1128.0000000000 -1128.0000000000
26 -1099.0000000000 -1099.0000000000 -1099.0000000000 -1099.0000000000
30 -1060.0000000000 -1060.0000000000 -1060.0000000000 -1060.0000000000
37 -1011.0000000000 -1011.0000000000 -1011.0000000000 -1011.0000000000
57 -972.0000000000 -972.0000000000 -972.0000000000 -972.0000000000
60 -943.0000000000 -943.0000000000 -943.0000000000 -943.0000000000
75 -904.0000000000 -904.0000000000 -904.0000000000 -904.0000000000
83 -865.0000000000 -865.0000000000 -865.0000000000 -865.0000000000
87 -836.0000000000 -836.0000000000 -836.0000000000 -836.0000000000
93 -797.0000000000 -797.0000000000 -797.0000000000 -797.0000000000
99 -758.0000000000 -758.0000000000 -758.0000000000 -758.0000000000
112 -719.0000000000 -719.0000000000 -719.0000000000 -719.0000000000
114 -690.0000000000 -690.0000000000 -690.0000000000 -690.0000000000
117 -680.0000000000 -680.0000000000 -680.0000000000 -680.0000000000
125 -641.0000000000 -641.0000000000 -641.0000000000 -641.0000000000
133 -612.0000000000 -612.0000000000 -612.0000000000 -612.0000000000
136 -583.0000000000 -583.0000000000 -583.0000000000 -583.0000000000
141 -554.0000000000 -554.0000000000 -554.0000000000 -554.0000000000
170 -535.0000000000 -535.0000000000 -535.0000000000 -535.0000000000
171 -506.0000000000 -506.0000000000 -506.0000000000 -506.0000000000
180 -477.0000000000 -477.0000000000 -477.0000000000 -477.0000000000
185 -419.0000000000 -419.0000000000 -419.0000000000 -419.0000000000
189 -409.0000000000 -409.0000000000 -409.0000000000 -409.0000000000
199 -380.0000000000 -380.0000000000 -380.0000000000 -380.0000000000
209 -312.0000000000 -312.0000000000 -312.0000000000 -312.0000000000
216 -293.0000000000 -293.0000000000 -293.0000000000 -293.0000000000
228 -283.0000000000 -283.0000000000 -283.0000000000 -283.0000000000
260 -244.0000000000 -244.0000000000 -244.0000000000 -244.0000000000
261 -225.0000000000 -225.0000000000 -225.0000000000 -225.0000000000
269 -206.0000000000 -206.0000000000 -206.0000000000 -206.0000000000
277 -187.0000000000 -187.0000000000 -187.0000000000 -187.0000000000
288 -158.0000000000 -158.0000000000 -158.0000000000 -158.0000000000
300 -148.0000000000 -148.0000000000 -148.0000000000 -148.0000000000
323 -129.0000000000 -129.0000000000 -129.0000000000 -129.0000000000
328 -109.0000000000 -109.0000000000 -109.0000000000 -109.0000000000
334 -100.0000000000 -100.0000000000 -100.0000000000 -100.0000000000
342 -91.0000000000 -91.0000000000 -91.0000000000 -91.0000000000
411 -63.0000000000 -63.0000000000 -63.0000000000 -63.0000000000
438 -54.0000000000 -54.0000000000 -54.0000000000 -54.0000000000
439 -35.0000000000 -35.0000000000 -35.0000000000 -35.0000000000
446 -34.0000000000 -34.0000000000 -34.0000000000 -34.0000000000
473 -33.0000000000 -33.0000000000 -33.0000000000 -33.0000000000
478 -14.0000000000 -14.0000000000 -14.0000000000 -14.0000000000
487 -5.0000000000 -5.0000000000 -5.0000000000 -5.0000000000
490 -4.0000000000 -4.0000000000 -4.0000000000 -4.0000000000
528 5.0000000000 5.0000000000 5.0000000000 5.0000000000
539 6.0000000000 6.0000000000 6.0000000000 6.0000000000
547 7.0000000000 7.0000000000 7.0000000000 7.0000000000
892 8.0000000000 8.0000000000 8.0000000000 8.0000000000
1132 9.0000000000 9.0000000000 9.0000000000 9.0000000000
100001 9.0000000000 9.0000000000 9.0000000000 9.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1722.0000000000 -1722.0000000000 -1722.0000000000 -1722.0000000000
4 -1683.0000000000 -1683.0000000000 -1683.0000000000 -1683.0000000000
7 -1644.0000000000 -1644.0000000000 -1644.0000000000 -1644.0000000000
9 -1605.0000000000 -1605.0000000000 -1605.0000000000 -1605.0000000000
14 -1566.0000000000 -1566.0000000000 -1566.0000000000 -1566.0000000000
16 -1527.0000000000 -1527.0000000000 -1527.0000000000 -1527.0000000000
18 -1449.0000000000 -1449.0000000000 -1449.0000000000 -1449.0000000000
