evaluations raw_y
1 1.0477787091
2 1.0548523207
3 1.1150758252
4 2.0798668885
180 2.2935779817
415 2.7839643653
6178 3.1806615776
125000 1.2588116818
evaluations raw_y
1 1.0477787091
4 1.3572204126
5 1.4450867052
13 1.4863258026
19 1.6600265604
35 1.7531556802
72 1.7934002869
115 1.8142235123
200 2.2935779817
420 2.5987525988
1072 2.9411764706
8053 2.9976019185
22056 3.1806615776
42533 3.3875338753
125000 0.8305647841
evaluations raw_y
1 0.5849321479
2 0.9349289454
5 1.3227513228
6 1.4060742407
11 1.5923566879
20 1.8355359765
31 1.8573551263
46 1.8796992481
210 2.0259319287
369 2.1079258010
399 2.1367521368
458 2.1663778163
540 2.2935779817
1453 2.8868360277
5301 2.9411764706
17843 2.9976019185
51396 3.3156498674
62577 3.6231884058
125000 1.3455328310
evaluations raw_y
1 0.8821453776
2 2.0525451560
231 2.0798668885
372 2.1968365554
994 2.2603978300
1265 2.3277467412
2089 2.4752475248
2560 2.6427061311
4887 2.6881720430
11147 2.9411764706
72764 3.2467532468
125000 1.4060742407
evaluations raw_y
1 1.3572204126
10 1.4060742407
21 1.5451174289
24 2.2935779817
131 2.4366471735
1389 2.6881720430
11416 3.1806615776
62150 3.4626038781
125000 1.1071744907
evaluations raw_y
1 1.0339123242
3 1.2007684918
5 1.6600265604
16 1.6960651289
18 2.0798668885
88 2.1079258010
226 2.1663778163
247 2.5150905433
1656 2.7352297593
2308 2.7839643653
46763 3.3875338753
76362 3.4626038781
125000 1.3691128149
evaluations raw_y
1 1.1312217195
2 1.3691128149
8 1.4060742407
13 1.6254876463
42 1.8355359765
191 2.3629489603
3004 2.3992322457
4461 2.5150905433
4547 2.5987525988
6521 2.8344671202
12807 2.8868360277
16073 3.1172069825
35568 3.3875338753
125000 1.1563367253
evaluations raw_y
1 1.5299877601
20 1.9500780031
265 2.1367521368
356 2.5562372188
9026 2.5987525988
11660 2.6427061311
12028 2.9411764706
27131 3.1172069825
60218 3.2467532468
125000 0.8771929825
evaluations raw_y
1 0.9637625289
2 1.3340448239
3 1.4585764294
10 1.6254876463
18 1.6425755585
27 1.7531556802
45 1.8573551263
81 1.9500780031
112 2.0000000000
147 2.0525451560
191 2.1968365554
249 2.2603978300
397 2.2935779817
1732 2.3629489603
2153 2.5150905433
9053 2.7839643653
10266 2.8868360277
38588 3.1806615776
125000 1.1394712853
evaluations raw_y
1 1.3812154696
2 1.7934002869
41 2.0000000000
532 2.2281639929
679 2.3277467412
789 2.4752475248
1830 2.6881720430
6308 2.7352297593
16829 2.8344671202
17894 3.1172069825
85451 3.3156498674
125000 1.2291052114
