evaluations raw_y
1 1.5762925599
4 1.7531556802
30 1.9747235387
93 2.0798668885
517 2.4366471735
853 2.7839643653
32827 3.0562347188
54327 3.1172069825
60512 3.2467532468
125000 0.8674531575
evaluations raw_y
1 0.9293680297
3 1.2388503469
6 1.2588116818
7 1.7531556802
27 1.8355359765
39 1.8573551263
74 1.9500780031
504 2.0525451560
586 2.1968365554
1450 2.2281639929
2255 2.3277467412
3099 2.3629489603
3158 2.5562372188
3734 2.6427061311
8923 2.6881720430
13509 2.8868360277
23490 3.1172069825
29550 3.2467532468
125000 2.3277467412
evaluations raw_y
1 1.1649580615
2 1.6425755585
71 2.3992322457
1224 2.7352297593
4342 2.9411764706
8864 2.9976019185
80006 3.1806615776
125000 0.8579272478
evaluations raw_y
1 1.3227513228
4 1.7531556802
18 1.9025875190
233 1.9500780031
255 1.9747235387
389 2.0000000000
651 2.0798668885
849 2.4752475248
5445 2.5562372188
6217 2.7352297593
17317 2.7839643653
91517 2.8344671202
125000 1.9500780031
evaluations raw_y
1 1.5605493134
33 1.5923566879
36 1.7337031900
80 2.0000000000
235 2.1079258010
696 2.2935779817
1422 2.3629489603
1580 2.4366471735
1940 2.5150905433
2996 2.5562372188
4340 2.7352297593
12068 2.8344671202
27428 3.1806615776
125000 1.2195121951
evaluations raw_y
1 1.0137875101
3 1.1394712853
7 1.1916110582
8 1.3227513228
10 1.4585764294
14 2.1079258010
614 2.2603978300
788 2.3629489603
4478 2.5987525988
9151 2.7352297593
18580 3.3156498674
19249 3.6231884058
125000 0.9077705156
evaluations raw_y
1 0.6426735219
2 1.0841283608
8 1.1150758252
12 1.1825922422
18 1.8142235123
64 1.8355359765
91 1.9025875190
177 2.2281639929
626 2.2603978300
826 2.3629489603
2259 2.4366471735
5047 2.5150905433
9498 2.6427061311
12107 2.6881720430
18393 2.8868360277
41211 2.9976019185
100949 3.0562347188
125000 0.9758001561
evaluations raw_y
1 1.3572204126
7 1.9260400616
281 2.5562372188
2070 2.7839643653
19215 3.5410764873
125000 1.4450867052
evaluations raw_y
1 2.0798668885
234 2.1079258010
326 2.3629489603
1008 2.3992322457
1290 2.4752475248
2758 2.5150905433
3773 2.6427061311
11016 2.6881720430
13847 2.7839643653
19796 2.9411764706
89759 3.1172069825
98397 3.3875338753
125000 0.9405568096
evaluations raw_y
1 1.1825922422
3 1.5451174289
4 1.6254876463
19 1.8796992481
50 1.9747235387
68 2.0000000000
103 2.3629489603
624 2.5150905433
2456 2.5987525988
4409 2.6881720430
19407 2.9411764706
43554 3.1806615776
125000 1.0993843448
