"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
133 3232.0000000000 3232.0000000000 3232.0000000000 3232.0000000000
169 3281.0000000000 3281.0000000000 3281.0000000000 3281.0000000000
290 3560.0000000000 3560.0000000000 3560.0000000000 3560.0000000000
16752 3626.0000000000 3626.0000000000 3626.0000000000 3626.0000000000
24735 3720.0000000000 3720.0000000000 3720.0000000000 3720.0000000000
100000 2326.0000000000 3720.0000000000 2326.0000000000 3720.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 2641.0000000000 2641.0000000000 2641.0000000000 2641.0000000000
4 2751.0000000000 2751.0000000000 2751.0000000000 2751.0000000000
12 2817.0000000000 2817.0000000000 2817.0000000000 2817.0000000000
17 2965.0000000000 2965.0000000000 2965.0000000000 2965.0000000000
30 3034.0000000000 3034.0000000000 3034.0000000000 3034.0000000000
40 3214.0000000000 3214.0000000000 3214.0000000000 3214.0000000000
190 3483.0000000000 3483.0000000000 3483.0000000000 3483.0000000000
1270 3525.0000000000 3525.0000000000 3525.0000000000 3525.0000000000
11456 3739.0000000000 3739.0000000000 3739.0000000000 3739.0000000000
45632 3754.0000000000 3754.0000000000 3754.0000000000 3754.0000000000
59456 3783.0000000000 3783.0000000000 3783.0000000000 3783.0000000000
100000 2765.0000000000 3783.0000000000 2765.0000000000 3783.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 2272.0000000000 2272.0000000000 2272.0000000000 2272.0000000000
4 2863.0000000000 2863.0000000000 2863.0000000000 2863.0000000000
14 2981.0000000000 2981.0000000000 2981.0000000000 2981.0000000000
35 3032.0000000000 3032.0000000000 3032.0000000000 3032.0000000000
169 3195.0000000000 3195.0000000000 3195.0000000000 3195.0000000000
273 3249.0000000000 3249.0000000000 3249.0000000000 3249.0000000000
396 3328.0000000000 3328.0000000000 3328.0000000000 3328.0000000000
573 3560.0000000000 3560.0000000000 3560.0000000000 3560.0000000000
3020 3663.0000000000 3663.0000000000 3663.0000000000 3663.0000000000
30602 3782.0000000000 3782.0000000000 3782.0000000000 3782.0000000000
100000 2966.0000000000 3782.0000000000 2966.0000000000 3782.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 2929.0000000000 2929.0000000000 2929.0000000000 2929.0000000000
2 2939.0000000000 2939.0000000000 2939.0000000000 2939.0000000000
49 3359.0000000000 3359.0000000000 3359.0000000000 3359.0000000000
351 3540.0000000000 3540.0000000000 3540.0000000000 3540.0000000000
3321 3546.0000000000 3546.0000000000 3546.0000000000 3546.0000000000
5668 3663.0000000000 3663.0000000000 3663.0000000000 3663.0000000000
62255 3674.0000000000 3674.0000000000 3674.0000000000 3674.0000000000
94951 3683.0000000000 3683.0000000000 3683.0000000000 3683.0000000000
100000 2480.0000000000 3683.0000000000 2480.0000000000 3683.0000000000
