"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
240 -0.3200981150 -0.3200981150 -0.3200981150 -0.3200981150
248 -0.3188450114 -0.3188450114 -0.3188450114 -0.3188450114
258 -0.3170736324 -0.3170736324 -0.3170736324 -0.3170736324
276 -0.3158433422 -0.3158433422 -0.3158433422 -0.3158433422
279 -0.3131892122 -0.3131892122 -0.3131892122 -0.3131892122
417 -0.3125356471 -0.3125356471 -0.3125356471 -0.3125356471
100001 -0.3192340104 -0.3125356471 -0.3192340104 -0.3125356471
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -0.5401109974 -0.5401109974 -0.5401109974 -0.5401109974
2 -0.5387904348 -0.5387904348 -0.5387904348 -0.5387904348
3 -0.5333673925 -0.5333673925 -0.5333673925 -0.5333673925
4 -0.5174747882 -0.5174747882 -0.5174747882 -0.5174747882
7 -0.5123164095 -0.5123164095 -0.5123164095 -0.5123164095
8 -0.5101112950 -0.5101112950 -0.5101112950 -0.5101112950
9 -0.5096272524 -0.5096272524 -0.5096272524 -0.5096272524
14 -0.5089689978 -0.5089689978 -0.5089689978 -0.5089689978
18 -0.5029278805 -0.5029278805 -0.5029278805 -0.5029278805
19 -0.5002873546 -0.5002873546 -0.5002873546 -0.5002873546
21 -0.4983419635 -0.4983419635 -0.4983419635 -0.4983419635
22 -0.4933439230 -0.4933439230 -0.4933439230 -0.4933439230
24 -0.4930123490 -0.4930123490 -0.4930123490 -0.4930123490
27 -0.4916540357 -0.4916540357 -0.4916540357 -0.4916540357
28 -0.4853372022 -0.4853372022 -0.4853372022 -0.4853372022
32 -0.4773340568 -0.4773340568 -0.4773340568 -0.4773340568
38 -0.4726733416 -0.4726733416 -0.4726733416 -0.4726733416
39 -0.4681773302 -0.4681773302 -0.4681773302 -0.4681773302
40 -0.4618892779 -0.4618892779 -0.4618892779 -0.4618892779
42 -0.4536398978 -0.4536398978 -0.4536398978 -0.4536398978
43 -0.4505922329 -0.4505922329 -0.4505922329 -0.4505922329
44 -0.4462402516 -0.4462402516 -0.4462402516 -0.4462402516
46 -0.4441015436 -0.4441015436 -0.4441015436 -0.4441015436
50 -0.4395410627 -0.4395410627 -0.4395410627 -0.4395410627
51 -0.4341421207 -0.4341421207 -0.4341421207 -0.4341421207
52 -0.4335776236 -0.4335776236 -0.4335776236 -0.4335776236
59 -0.4328815727 -0.4328815727 -0.4328815727 -0.4328815727
60 -0.4267169110 -0.4267169110 -0.4267169110 -0.4267169110
61 -0.4237331115 -0.4237331115 -0.4237331115 -0.4237331115
62 -0.4156336803 -0.4156336803 -0.4156336803 -0.4156336803
72 -0.4113119488 -0.4113119488 -0.4113119488 -0.4113119488
74 -0.4103029369 -0.4103029369 -0.4103029369 -0.4103029369
75 -0.4065814733 -0.4065814733 -0.4065814733 -0.4065814733
83 -0.4039273433 -0.4039273433 -0.4039273433 -0.4039273433
86 -0.3990265072 -0.3990265072 -0.3990265072 -0.3990265072
97 -0.3972551282 -0.3972551282 -0.3972551282 -0.3972551282
100 -0.3953714798 -0.3953714798 -0.3953714798 -0.3953714798
103 -0.3953220931 -0.3953220931 -0.3953220931 -0.3953220931
