"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -0.4877574614 -0.4877574614 -0.4877574614 -0.4877574614
8 -0.4691378325 -0.4691378325 -0.4691378325 -0.4691378325
19 -0.4637692737 -0.4637692737 -0.4637692737 -0.4637692737
52 -0.4406597873 -0.4406597873 -0.4406597873 -0.4406597873
72 -0.4387162662 -0.4387162662 -0.4387162662 -0.4387162662
224 -0.4383966788 -0.4383966788 -0.4383966788 -0.4383966788
1276 -0.4288839101 -0.4288839101 -0.4288839101 -0.4288839101
1934 -0.4191482157 -0.4191482157 -0.4191482157 -0.4191482157
4384 -0.4012845694 -0.4012845694 -0.4012845694 -0.4012845694
42628 -0.3954053006 -0.3954053006 -0.3954053006 -0.3954053006
100000 -0.4823005765 -0.3954053006 -0.4823005765 -0.3954053006
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -0.4996584859 -0.4996584859 -0.4996584859 -0.4996584859
5 -0.4856714738 -0.4856714738 -0.4856714738 -0.4856714738
12 -0.4759873982 -0.4759873982 -0.4759873982 -0.4759873982
61 -0.4634911422 -0.4634911422 -0.4634911422 -0.4634911422
90 -0.4582904164 -0.4582904164 -0.4582904164 -0.4582904164
149 -0.4514575730 -0.4514575730 -0.4514575730 -0.4514575730
155 -0.4447535899 -0.4447535899 -0.4447535899 -0.4447535899
1065 -0.4049428417 -0.4049428417 -0.4049428417 -0.4049428417
100000 -0.5699337117 -0.4049428417 -0.5699337117 -0.4049428417
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -0.5112907751 -0.5112907751 -0.5112907751 -0.5112907751
2 -0.5001121898 -0.5001121898 -0.5001121898 -0.5001121898
4 -0.4922996994 -0.4922996994 -0.4922996994 -0.4922996994
14 -0.4879550784 -0.4879550784 -0.4879550784 -0.4879550784
18 -0.4522451125 -0.4522451125 -0.4522451125 -0.4522451125
82 -0.4409923335 -0.4409923335 -0.4409923335 -0.4409923335
488 -0.4396383236 -0.4396383236 -0.4396383236 -0.4396383236
608 -0.4371282416 -0.4371282416 -0.4371282416 -0.4371282416
2442 -0.4328029684 -0.4328029684 -0.4328029684 -0.4328029684
3753 -0.4066321069 -0.4066321069 -0.4066321069 -0.4066321069
13637 -0.4059853693 -0.4059853693 -0.4059853693 -0.4059853693
100000 -0.5331307662 -0.4059853693 -0.5331307662 -0.4059853693
