"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
108 -166.0000000000 -166.0000000000 -166.0000000000 -166.0000000000
111 -127.0000000000 -127.0000000000 -127.0000000000 -127.0000000000
112 -98.0000000000 -98.0000000000 -98.0000000000 -98.0000000000
119 -79.0000000000 -79.0000000000 -79.0000000000 -79.0000000000
133 -60.0000000000 -60.0000000000 -60.0000000000 -60.0000000000
134 -51.0000000000 -51.0000000000 -51.0000000000 -51.0000000000
135 -50.0000000000 -50.0000000000 -50.0000000000 -50.0000000000
138 -41.0000000000 -41.0000000000 -41.0000000000 -41.0000000000
144 -32.0000000000 -32.0000000000 -32.0000000000 -32.0000000000
157 -13.0000000000 -13.0000000000 -13.0000000000 -13.0000000000
168 6.0000000000 6.0000000000 6.0000000000 6.0000000000
182 7.0000000000 7.0000000000 7.0000000000 7.0000000000
219 8.0000000000 8.0000000000 8.0000000000 8.0000000000
100001 -21.0000000000 8.0000000000 -21.0000000000 8.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1595.0000000000 -1595.0000000000 -1595.0000000000 -1595.0000000000
3 -1566.0000000000 -1566.0000000000 -1566.0000000000 -1566.0000000000
4 -1527.0000000000 -1527.0000000000 -1527.0000000000 -1527.0000000000
5 -1488.0000000000 -1488.0000000000 -1488.0000000000 -1488.0000000000
6 -1449.0000000000 -1449.0000000000 -1449.0000000000 -1449.0000000000
7 -1410.0000000000 -1410.0000000000 -1410.0000000000 -1410.0000000000
9 -1371.0000000000 -1371.0000000000 -1371.0000000000 -1371.0000000000
10 -1332.0000000000 -1332.0000000000 -1332.0000000000 -1332.0000000000
11 -1293.0000000000 -1293.0000000000 -1293.0000000000 -1293.0000000000
12 -1254.0000000000 -1254.0000000000 -1254.0000000000 -1254.0000000000
14 -1215.0000000000 -1215.0000000000 -1215.0000000000 -1215.0000000000
17 -1176.0000000000 -1176.0000000000 -1176.0000000000 -1176.0000000000
18 -1137.0000000000 -1137.0000000000 -1137.0000000000 -1137.0000000000
19 -1108.0000000000 -1108.0000000000 -1108.0000000000 -1108.0000000000
20 -1069.0000000000 -1069.0000000000 -1069.0000000000 -1069.0000000000
21 -1030.0000000000 -1030.0000000000 -1030.0000000000 -1030.0000000000
24 -991.0000000000 -991.0000000000 -991.0000000000 -991.0000000000
29 -952.0000000000 -952.0000000000 -952.0000000000 -952.0000000000
30 -923.0000000000 -923.0000000000 -923.0000000000 -923.0000000000
34 -884.0000000000 -884.0000000000 -884.0000000000 -884.0000000000
39 -845.0000000000 -845.0000000000 -845.0000000000 -845.0000000000
42 -806.0000000000 -806.0000000000 -806.0000000000 -806.0000000000
43 -777.0000000000 -777.0000000000 -777.0000000000 -777.0000000000
46 -748.0000000000 -748.0000000000 -748.0000000000 -748.0000000000
53 -729.0000000000 -729.0000000000 -729.0000000000 -729.0000000000
61 -700.0000000000 -700.0000000000 -700.0000000000 -700.0000000000
65 -671.0000000000 -671.0000000000 -671.0000000000 -671.0000000000
66 -632.0000000000 -632.0000000000 -632.0000000000 -632.0000000000
73 -593.0000000000 -593.0000000000 -593.0000000000 -593.0000000000
75 -564.0000000000 -564.0000000000 -564.0000000000 -564.0000000000
78 -535.0000000000 -535.0000000000 -535.0000000000 -535.0000000000
88 -506.0000000000 -506.0000000000 -506.0000000000 -506.0000000000
98 -467.0000000000 -467.0000000000 -467.0000000000 -467.0000000000
104 -438.0000000000 -438.0000000000 -438.0000000000 -438.0000000000
116 -409.0000000000 -409.0000000000 -409.0000000000 -409.0000000000
120 -380.0000000000 -380.0000000000 -380.0000000000 -380.0000000000
132 -351.0000000000 -351.0000000000 -351.0000000000 -351.0000000000
137 -322.0000000000 -322.0000000000 -322.0000000000 -322.0000000000
145 -303.0000000000 -303.0000000000 -303.0000000000 -303.0000000000
149 -274.0000000000 -274.0000000000 -274.0000000000 -274.0000000000
150 -255.0000000000 -255.0000000000 -255.0000000000 -255.0000000000
163 -226.0000000000 -226.0000000000 -226.0000000000 -226.0000000000
170 -187.0000000000 -187.0000000000 -187.0000000000 -187.0000000000
173 -168.0000000000 -168.0000000000 -168.0000000000 -168.0000000000
176 -129.0000000000 -129.0000000000 -129.0000000000 -129.0000000000
181 -128.0000000000 -128.0000000000 -128.0000000000 -128.0000000000
231 -119.0000000000 -119.0000000000 -119.0000000000 -119.0000000000
240 -100.0000000000 -100.0000000000 -100.0000000000 -100.0000000000
262 -99.0000000000 -99.0000000000 -99.0000000000 -99.0000000000
265 -80.0000000000 -80.0000000000 -80.0000000000 -80.0000000000
283 -61.0000000000 -61.0000000000 -61.0000000000 -61.0000000000
290 -60.0000000000 -60.0000000000 -60.0000000000 -60.0000000000
292 -51.0000000000 -51.0000000000 -51.0000000000 -51.0000000000
296 -42.0000000000 -42.0000000000 -42.0000000000 -42.0000000000
298 -41.0000000000 -41.0000000000 -41.0000000000 -41.0000000000
307 -32.0000000000 -32.0000000000 -32.0000000000 -32.0000000000
314 -31.0000000000 -31.0000000000 -31.0000000000 -31.0000000000
315 -12.0000000000 -12.0000000000 -12.0000000000 -12.0000000000
324 -11.0000000000 -11.0000000000 -11.0000000000 -11.0000000000
334 -10.0000000000 -10.0000000000 -10.0000000000 -10.0000000000
360 -1.0000000000 -1.0000000000 -1.0000000000 -1.0000000000
498 8.0000000000 8.0000000000 8.0000000000 8.0000000000
514 9.0000000000 9.0000000000 9.0000000000 9.0000000000
100001 -20.0000000000 9.0000000000 -20.0000000000 9.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1517.0000000000 -1517.0000000000 -1517.0000000000 -1517.0000000000
