"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
59 2.0850708924 2.0850708924 2.0850708924 2.0850708924
64 2.1459227468 2.1459227468 2.1459227468 2.1459227468
73 2.2665457842 2.2665457842 2.2665457842 2.2665457842
74 2.3923444976 2.3923444976 2.3923444976 2.3923444976
104 2.5960539979 2.5960539979 2.5960539979 2.5960539979
108 2.6455026455 2.6455026455 2.6455026455 2.6455026455
111 2.7563395810 2.7563395810 2.7563395810 2.7563395810
123 2.9585798817 2.9585798817 2.9585798817 2.9585798817
159 3.1446540881 3.1446540881 3.1446540881 3.1446540881
184 3.1525851198 3.1525851198 3.1525851198 3.1525851198
189 3.2938076416 3.2938076416 3.2938076416 3.2938076416
230 3.4106412005 3.4106412005 3.4106412005 3.4106412005
525 3.4578146611 3.4578146611 3.4578146611 3.4578146611
100001 2.6455026455 3.4578146611 2.6455026455 3.4578146611
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.0535187526 1.0535187526 1.0535187526 1.0535187526
2 1.0725010725 1.0725010725 1.0725010725 1.0725010725
3 1.1568718186 1.1568718186 1.1568718186 1.1568718186
4 1.2556504269 1.2556504269 1.2556504269 1.2556504269
8 1.3150973172 1.3150973172 1.3150973172 1.3150973172
11 1.4749262537 1.4749262537 1.4749262537 1.4749262537
14 1.5015015015 1.5015015015 1.5015015015 1.5015015015
17 1.5403573629 1.5403573629 1.5403573629 1.5403573629
25 1.5422578655 1.5422578655 1.5422578655 1.5422578655
27 1.6202203500 1.6202203500 1.6202203500 1.6202203500
32 1.6789791807 1.6789791807 1.6789791807 1.6789791807
40 1.7717930546 1.7717930546 1.7717930546 1.7717930546
55 1.8315018315 1.8315018315 1.8315018315 1.8315018315
64 1.9364833462 1.9364833462 1.9364833462 1.9364833462
67 1.9455252918 1.9455252918 1.9455252918 1.9455252918
69 1.9920318725 1.9920318725 1.9920318725 1.9920318725
70 2.0275750203 2.0275750203 2.0275750203 2.0275750203
79 2.0712510356 2.0712510356 2.0712510356 2.0712510356
90 2.2065313327 2.2065313327 2.2065313327 2.2065313327
95 2.2747952684 2.2747952684 2.2747952684 2.2747952684
109 2.4108003857 2.4108003857 2.4108003857 2.4108003857
126 2.5432349949 2.5432349949 2.5432349949 2.5432349949
130 2.6123301985 2.6123301985 2.6123301985 2.6123301985
198 2.6852846402 2.6852846402 2.6852846402 2.6852846402
202 2.8248587571 2.8248587571 2.8248587571 2.8248587571
228 2.8571428571 2.8571428571 2.8571428571 2.8571428571
229 3.2010243278 3.2010243278 3.2010243278 3.2010243278
393 3.2594524120 3.2594524120 3.2594524120 3.2594524120
422 3.3377837116 3.3377837116 3.3377837116 3.3377837116
425 3.3647375505 3.3647375505 3.3647375505 3.3647375505
466 3.4482758621 3.4482758621 3.4482758621 3.4482758621
637 4.0387722132 4.0387722132 4.0387722132 4.0387722132
100001 3.5260930889 4.0387722132 3.5260930889 4.0387722132
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.6873797086 0.6873797086 0.6873797086 0.6873797086
2 0.7185972981 0.7185972981 0.7185972981 0.7185972981
3 0.7647598654 0.7647598654 0.7647598654 0.7647598654
4 0.8130081301 0.8130081301 0.8130081301 0.8130081301
5 0.8199409643 0.8199409643 0.8199409643 0.8199409643
6 0.9815469179 0.9815469179 0.9815469179 0.9815469179
7 1.1296882061 1.1296882061 1.1296882061 1.1296882061
10 1.2025012025 1.2025012025 1.2025012025 1.2025012025
11 1.2321340562 1.2321340562 1.2321340562 1.2321340562
12 1.2406947891 1.2406947891 1.2406947891 1.2406947891
13 1.3150973172 1.3150973172 1.3150973172 1.3150973172
18 1.5253203173 1.5253203173 1.5253203173 1.5253203173
22 1.5654351910 1.5654351910 1.5654351910 1.5654351910
24 1.5673981191 1.5673981191 1.5673981191 1.5673981191
