"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
781 3.1605562579 3.1605562579 3.1605562579 3.1605562579
1118 3.4293552812 3.4293552812 3.4293552812 3.4293552812
1525 3.4965034965 3.4965034965 3.4965034965 3.4965034965
19988 3.7369207773 3.7369207773 3.7369207773 3.7369207773
20012 4.0387722132 4.0387722132 4.0387722132 4.0387722132
20043 4.1322314050 4.1322314050 4.1322314050 4.1322314050
100001 4.1322314050 4.1322314050 4.1322314050 4.1322314050
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.6153088851 0.6153088851 0.6153088851 0.6153088851
3 0.7100255609 0.7100255609 0.7100255609 0.7100255609
7 0.7496251874 0.7496251874 0.7496251874 0.7496251874
14 0.8843296781 0.8843296781 0.8843296781 0.8843296781
16 0.9035056017 0.9035056017 0.9035056017 0.9035056017
17 0.9297136482 0.9297136482 0.9297136482 0.9297136482
21 1.0004001601 1.0004001601 1.0004001601 1.0004001601
23 1.1644154634 1.1644154634 1.1644154634 1.1644154634
25 1.2309207287 1.2309207287 1.2309207287 1.2309207287
27 1.3178703216 1.3178703216 1.3178703216 1.3178703216
32 1.3713658804 1.3713658804 1.3713658804 1.3713658804
33 1.4359563469 1.4359563469 1.4359563469 1.4359563469
36 1.6097875080 1.6097875080 1.6097875080 1.6097875080
41 1.6835016835 1.6835016835 1.6835016835 1.6835016835
43 1.8615040953 1.8615040953 1.8615040953 1.8615040953
45 1.9825535289 1.9825535289 1.9825535289 1.9825535289
55 2.0542317173 2.0542317173 2.0542317173 2.0542317173
69 2.3169601483 2.3169601483 2.3169601483 2.3169601483
101 2.4390243902 2.4390243902 2.4390243902 2.4390243902
133 2.4533856722 2.4533856722 2.4533856722 2.4533856722
143 2.5278058645 2.5278058645 2.5278058645 2.5278058645
165 2.5536261491 2.5536261491 2.5536261491 2.5536261491
170 2.6014568158 2.6014568158 2.6014568158 2.6014568158
177 2.7322404372 2.7322404372 2.7322404372 2.7322404372
192 2.9239766082 2.9239766082 2.9239766082 2.9239766082
202 3.1367628607 3.1367628607 3.1367628607 3.1367628607
257 3.1446540881 3.1446540881 3.1446540881 3.1446540881
325 3.1847133758 3.1847133758 3.1847133758 3.1847133758
585 3.3112582781 3.3112582781 3.3112582781 3.3112582781
1296 3.4482758621 3.4482758621 3.4482758621 3.4482758621
1425 3.6818851252 3.6818851252 3.6818851252 3.6818851252
1650 3.8520801233 3.8520801233 3.8520801233 3.8520801233
8994 3.9246467818 3.9246467818 3.9246467818 3.9246467818
9051 4.0916530278 4.0916530278 4.0916530278 4.0916530278
9119 4.2444821732 4.2444821732 4.2444821732 4.2444821732
9750 4.2589437819 4.2589437819 4.2589437819 4.2589437819
100001 4.2589437819 4.2589437819 4.2589437819 4.2589437819
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.2201073694 1.2201073694 1.2201073694 1.2201073694
7 1.3262599469 1.3262599469 1.3262599469 1.3262599469
8 1.3347570742 1.3347570742 1.3347570742 1.3347570742
14 1.3535462913 1.3535462913 1.3535462913 1.3535462913
23 1.4228799089 1.4228799089 1.4228799089 1.4228799089
27 1.5479876161 1.5479876161 1.5479876161 1.5479876161
29 1.5893197711 1.5893197711 1.5893197711 1.5893197711
31 1.6655562958 1.6655562958 1.6655562958 1.6655562958
40 2.0576131687 2.0576131687 2.0576131687 2.0576131687
43 2.0815986678 2.0815986678 2.0815986678 2.0815986678
52 2.0990764064 2.0990764064 2.0990764064 2.0990764064
72 2.2222222222 2.2222222222 2.2222222222 2.2222222222
77 2.4437927664 2.4437927664 2.4437927664 2.4437927664
115 2.4975024975 2.4975024975 2.4975024975 2.4975024975
243 2.5227043391 2.5227043391 2.5227043391 2.5227043391
408 2.5484199796 2.5484199796 2.5484199796 2.5484199796
419 2.6232948583 2.6232948583 2.6232948583 2.6232948583
445 2.6399155227 2.6399155227 2.6399155227 2.6399155227
450 2.8702640643 2.8702640643 2.8702640643 2.8702640643
452 3.0902348578 3.0902348578 3.0902348578 3.0902348578
506 3.2092426187 3.2092426187 3.2092426187 3.2092426187
926 3.2425421530 3.2425421530 3.2425421530 3.2425421530
1105 3.4674063800 3.4674063800 3.4674063800 3.4674063800
5153 3.5561877667 3.5561877667 3.5561877667 3.5561877667
5685 3.5868005739 3.5868005739 3.5868005739 3.5868005739
6693 3.5971223022 3.5971223022 3.5971223022 3.5971223022
29121 3.6284470247 3.6284470247 3.6284470247 3.6284470247
45158 3.6390101892 3.6390101892 3.6390101892 3.6390101892
45547 3.7369207773 3.7369207773 3.7369207773 3.7369207773
45916 3.7707390649 3.7707390649 3.7707390649 3.7707390649
46197 4.0000000000 4.0000000000 4.0000000000 4.0000000000
46347 4.0650406504 4.0650406504 4.0650406504 4.0650406504
100001 3.1210986267 4.0650406504 3.1210986267 4.0650406504
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.9885330170 0.9885330170 0.9885330170 0.9885330170
5 1.1622501162 1.1622501162 1.1622501162 1.1622501162
11 1.1944577162 1.1944577162 1.1944577162 1.1944577162
13 1.2658227848 1.2658227848 1.2658227848 1.2658227848
24 1.5069318867 1.5069318867 1.5069318867 1.5069318867
26 1.6700066800 1.6700066800 1.6700066800 1.6700066800
47 1.6949152542 1.6949152542 1.6949152542 1.6949152542
60 1.9157088123 1.9157088123 1.9157088123 1.9157088123
75 2.1987686895 2.1987686895 2.1987686895 2.1987686895
76 2.2341376229 2.2341376229 2.2341376229 2.2341376229
86 2.4248302619 2.4248302619 2.4248302619 2.4248302619
108 2.4875621891 2.4875621891 2.4875621891 2.4875621891
111 2.5746652935 2.5746652935 2.5746652935 2.5746652935
132 2.8702640643 2.8702640643 2.8702640643 2.8702640643
150 2.9036004646 2.9036004646 2.9036004646 2.9036004646
179 3.0303030303 3.0303030303 3.0303030303 3.0303030303
194 3.2765399738 3.2765399738 3.2765399738 3.2765399738
438 3.4867503487 3.4867503487 3.4867503487 3.4867503487
485 3.5561877667 3.5561877667 3.5561877667 3.5561877667
692 3.5663338088 3.5663338088 3.5663338088 3.5663338088
7317 3.5868005739 3.5868005739 3.5868005739 3.5868005739
7324 3.6603221083 3.6603221083 3.6603221083 3.6603221083
7456 3.7593984962 3.7593984962 3.7593984962 3.7593984962
16006 3.7821482602 3.7821482602 3.7821482602 3.7821482602
16049 3.8880248834 3.8880248834 3.8880248834 3.8880248834
16060 3.9745627981 3.9745627981 3.9745627981 3.9745627981
16618 4.0128410915 4.0128410915 4.0128410915 4.0128410915
16668 4.0257648953 4.0257648953 4.0257648953 4.0257648953
16732 4.0387722132 4.0387722132 4.0387722132 4.0387722132
16855 4.1322314050 4.1322314050 4.1322314050 4.1322314050
16911 4.1736227045 4.1736227045 4.1736227045 4.1736227045
27059 4.2016806723 4.2016806723 4.2016806723 4.2016806723
45112 4.2301184433 4.2301184433 4.2301184433 4.2301184433
45399 4.3936731107 4.3936731107 4.3936731107 4.3936731107
45870 4.4883303411 4.4883303411 4.4883303411 4.4883303411
81855 4.5537340619 4.5537340619 4.5537340619 4.5537340619
100001 2.8506271380 4.5537340619 2.8506271380 4.5537340619
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.9746588694 0.9746588694 0.9746588694 0.9746588694
2 1.0874293171 1.0874293171 1.0874293171 1.0874293171
3 1.1317338162 1.1317338162 1.1317338162 1.1317338162
7 1.1473152822 1.1473152822 1.1473152822 1.1473152822
11 1.2001920307 1.2001920307 1.2001920307 1.2001920307
12 1.3095861708 1.3095861708 1.3095861708 1.3095861708
13 1.3774104683 1.3774104683 1.3774104683 1.3774104683
17 1.4037057833 1.4037057833 1.4037057833 1.4037057833
18 1.5832805573 1.5832805573 1.5832805573 1.5832805573
26 1.6265452180 1.6265452180 1.6265452180 1.6265452180
27 1.6949152542 1.6949152542 1.6949152542 1.6949152542
39 1.7642907551 1.7642907551 1.7642907551 1.7642907551
46 1.9607843137 1.9607843137 1.9607843137 1.9607843137
53 1.9920318725 1.9920318725 1.9920318725 1.9920318725
55 2.0885547201 2.0885547201 2.0885547201 2.0885547201
58 2.0920502092 2.0920502092 2.0920502092 2.0920502092
60 2.1533161068 2.1533161068 2.1533161068 2.1533161068
72 2.5641025641 2.5641025641 2.5641025641 2.5641025641
77 2.5799793602 2.5799793602 2.5799793602 2.5799793602
80 2.7203482046 2.7203482046 2.7203482046 2.7203482046
85 2.8506271380 2.8506271380 2.8506271380 2.8506271380
88 2.9655990510 2.9655990510 2.9655990510 2.9655990510
118 3.1685678074 3.1685678074 3.1685678074 3.1685678074
155 3.1928480204 3.1928480204 3.1928480204 3.1928480204
208 3.4482758621 3.4482758621 3.4482758621 3.4482758621
323 3.4965034965 3.4965034965 3.4965034965 3.4965034965
432 3.5460992908 3.5460992908 3.5460992908 3.5460992908
597 3.5765379113 3.5765379113 3.5765379113 3.5765379113
672 3.6179450072 3.6179450072 3.6179450072 3.6179450072
