"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
77 -446.0000000000 -446.0000000000 -446.0000000000 -446.0000000000
82 -427.0000000000 -427.0000000000 -427.0000000000 -427.0000000000
89 -408.0000000000 -408.0000000000 -408.0000000000 -408.0000000000
90 -379.0000000000 -379.0000000000 -379.0000000000 -379.0000000000
91 -360.0000000000 -360.0000000000 -360.0000000000 -360.0000000000
97 -331.0000000000 -331.0000000000 -331.0000000000 -331.0000000000
101 -302.0000000000 -302.0000000000 -302.0000000000 -302.0000000000
147 -273.0000000000 -273.0000000000 -273.0000000000 -273.0000000000
150 -254.0000000000 -254.0000000000 -254.0000000000 -254.0000000000
154 -225.0000000000 -225.0000000000 -225.0000000000 -225.0000000000
159 -206.0000000000 -206.0000000000 -206.0000000000 -206.0000000000
162 -177.0000000000 -177.0000000000 -177.0000000000 -177.0000000000
165 -168.0000000000 -168.0000000000 -168.0000000000 -168.0000000000
169 -139.0000000000 -139.0000000000 -139.0000000000 -139.0000000000
183 -110.0000000000 -110.0000000000 -110.0000000000 -110.0000000000
186 -109.0000000000 -109.0000000000 -109.0000000000 -109.0000000000
187 -80.0000000000 -80.0000000000 -80.0000000000 -80.0000000000
191 -71.0000000000 -71.0000000000 -71.0000000000 -71.0000000000
192 -52.0000000000 -52.0000000000 -52.0000000000 -52.0000000000
193 -33.0000000000 -33.0000000000 -33.0000000000 -33.0000000000
204 -24.0000000000 -24.0000000000 -24.0000000000 -24.0000000000
210 -23.0000000000 -23.0000000000 -23.0000000000 -23.0000000000
213 -22.0000000000 -22.0000000000 -22.0000000000 -22.0000000000
215 -13.0000000000 -13.0000000000 -13.0000000000 -13.0000000000
263 6.0000000000 6.0000000000 6.0000000000 6.0000000000
270 7.0000000000 7.0000000000 7.0000000000 7.0000000000
285 8.0000000000 8.0000000000 8.0000000000 8.0000000000
100001 -11.0000000000 8.0000000000 -11.0000000000 8.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -1303.0000000000 -1303.0000000000 -1303.0000000000 -1303.0000000000
2 -1264.0000000000 -1264.0000000000 -1264.0000000000 -1264.0000000000
7 -1225.0000000000 -1225.0000000000 -1225.0000000000 -1225.0000000000
8 -1186.0000000000 -1186.0000000000 -1186.0000000000 -1186.0000000000
10 -1147.0000000000 -1147.0000000000 -1147.0000000000 -1147.0000000000
14 -1118.0000000000 -1118.0000000000 -1118.0000000000 -1118.0000000000
16 -1079.0000000000 -1079.0000000000 -1079.0000000000 -1079.0000000000
18 -1040.0000000000 -1040.0000000000 -1040.0000000000 -1040.0000000000
20 -1011.0000000000 -1011.0000000000 -1011.0000000000 -1011.0000000000
22 -972.0000000000 -972.0000000000 -972.0000000000 -972.0000000000
24 -943.0000000000 -943.0000000000 -943.0000000000 -943.0000000000
25 -904.0000000000 -904.0000000000 -904.0000000000 -904.0000000000
33 -875.0000000000 -875.0000000000 -875.0000000000 -875.0000000000
35 -836.0000000000 -836.0000000000 -836.0000000000 -836.0000000000
40 -817.0000000000 -817.0000000000 -817.0000000000 -817.0000000000
44 -778.0000000000 -778.0000000000 -778.0000000000 -778.0000000000
49 -739.0000000000 -739.0000000000 -739.0000000000 -739.0000000000
51 -710.0000000000 -710.0000000000 -710.0000000000 -710.0000000000
55 -671.0000000000 -671.0000000000 -671.0000000000 -671.0000000000
58 -632.0000000000 -632.0000000000 -632.0000000000 -632.0000000000
65 -593.0000000000 -593.0000000000 -593.0000000000 -593.0000000000
77 -554.0000000000 -554.0000000000 -554.0000000000 -554.0000000000
87 -525.0000000000 -525.0000000000 -525.0000000000 -525.0000000000
92 -486.0000000000 -486.0000000000 -486.0000000000 -486.0000000000
93 -457.0000000000 -457.0000000000 -457.0000000000 -457.0000000000
98 -428.0000000000 -428.0000000000 -428.0000000000 -428.0000000000
105 -389.0000000000 -389.0000000000 -389.0000000000 -389.0000000000
108 -350.0000000000 -350.0000000000 -350.0000000000 -350.0000000000
113 -321.0000000000 -321.0000000000 -321.0000000000 -321.0000000000
128 -282.0000000000 -282.0000000000 -282.0000000000 -282.0000000000
130 -263.0000000000 -263.0000000000 -263.0000000000 -263.0000000000
135 -234.0000000000 -234.0000000000 -234.0000000000 -234.0000000000
136 -195.0000000000 -195.0000000000 -195.0000000000 -195.0000000000
155 -156.0000000000 -156.0000000000 -156.0000000000 -156.0000000000
167 -127.0000000000 -127.0000000000 -127.0000000000 -127.0000000000
174 -108.0000000000 -108.0000000000 -108.0000000000 -108.0000000000
175 -79.0000000000 -79.0000000000 -79.0000000000 -79.0000000000
177 -60.0000000000 -60.0000000000 -60.0000000000 -60.0000000000
217 -51.0000000000 -51.0000000000 -51.0000000000 -51.0000000000
231 -32.0000000000 -32.0000000000 -32.0000000000 -32.0000000000
239 -31.0000000000 -31.0000000000 -31.0000000000 -31.0000000000
240 -22.0000000000 -22.0000000000 -22.0000000000 -22.0000000000
255 -13.0000000000 -13.0000000000 -13.0000000000 -13.0000000000
257 6.0000000000 6.0000000000 6.0000000000 6.0000000000
269 7.0000000000 7.0000000000 7.0000000000 7.0000000000
280 8.0000000000 8.0000000000 8.0000000000 8.0000000000
374 9.0000000000 9.0000000000 9.0000000000 9.0000000000
100001 -20.0000000000 9.0000000000 -20.0000000000 9.0000000000
