"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
209 -0.3256289964 -0.3256289964 -0.3256289964 -0.3256289964
241 -0.3254368150 -0.3254368150 -0.3254368150 -0.3254368150
295 -0.3202873373 -0.3202873373 -0.3202873373 -0.3202873373
100001 -0.3268126076 -0.3202873373 -0.3268126076 -0.3202873373
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 -0.5386716876 -0.5386716876 -0.5386716876 -0.5386716876
5 -0.5374108916 -0.5374108916 -0.5374108916 -0.5374108916
9 -0.5351031411 -0.5351031411 -0.5351031411 -0.5351031411
12 -0.5302582864 -0.5302582864 -0.5302582864 -0.5302582864
14 -0.5143656822 -0.5143656822 -0.5143656822 -0.5143656822
15 -0.5046452453 -0.5046452453 -0.5046452453 -0.5046452453
17 -0.5045958586 -0.5045958586 -0.5045958586 -0.5045958586
18 -0.4905116258 -0.4905116258 -0.4905116258 -0.4905116258
19 -0.4881701704 -0.4881701704 -0.4881701704 -0.4881701704
23 -0.4806322687 -0.4806322687 -0.4806322687 -0.4806322687
26 -0.4796232569 -0.4796232569 -0.4796232569 -0.4796232569
27 -0.4786961142 -0.4786961142 -0.4786961142 -0.4786961142
30 -0.4708471793 -0.4708471793 -0.4708471793 -0.4708471793
31 -0.4670276220 -0.4670276220 -0.4670276220 -0.4670276220
32 -0.4668606432 -0.4668606432 -0.4668606432 -0.4668606432
33 -0.4662070782 -0.4662070782 -0.4662070782 -0.4662070782
38 -0.4553893780 -0.4553893780 -0.4553893780 -0.4553893780
46 -0.4519266193 -0.4519266193 -0.4519266193 -0.4519266193
51 -0.4493774329 -0.4493774329 -0.4493774329 -0.4493774329
54 -0.4446825053 -0.4446825053 -0.4446825053 -0.4446825053
55 -0.4404761607 -0.4404761607 -0.4404761607 -0.4404761607
64 -0.4345490458 -0.4345490458 -0.4345490458 -0.4345490458
68 -0.4248357889 -0.4248357889 -0.4248357889 -0.4248357889
70 -0.4211143253 -0.4211143253 -0.4211143253 -0.4211143253
74 -0.4148790906 -0.4148790906 -0.4148790906 -0.4148790906
80 -0.4082268653 -0.4082268653 -0.4082268653 -0.4082268653
84 -0.3941493723 -0.3941493723 -0.3941493723 -0.3941493723
89 -0.3936743490 -0.3936743490 -0.3936743490 -0.3936743490
96 -0.3917666919 -0.3917666919 -0.3917666919 -0.3917666919
101 -0.3867550643 -0.3867550643 -0.3867550643 -0.3867550643
102 -0.3867466792 -0.3867466792 -0.3867466792 -0.3867466792
103 -0.3787241326 -0.3787241326 -0.3787241326 -0.3787241326
105 -0.3776761714 -0.3776761714 -0.3776761714 -0.3776761714
111 -0.3757307802 -0.3757307802 -0.3757307802 -0.3757307802
115 -0.3722532889 -0.3722532889 -0.3722532889 -0.3722532889
129 -0.3719217148 -0.3719217148 -0.3719217148 -0.3719217148
141 -0.3675774943 -0.3675774943 -0.3675774943 -0.3675774943
160 -0.3649233643 -0.3649233643 -0.3649233643 -0.3649233643
164 -0.3605581785 -0.3605581785 -0.3605581785 -0.3605581785
168 -0.3565050975 -0.3565050975 -0.3565050975 -0.3565050975
187 -0.3562981879 -0.3562981879 -0.3562981879 -0.3562981879
191 -0.3558180679 -0.3558180679 -0.3558180679 -0.3558180679
212 -0.3440259131 -0.3440259131 -0.3440259131 -0.3440259131
214 -0.3416618257 -0.3416618257 -0.3416618257 -0.3416618257
241 -0.3386141608 -0.3386141608 -0.3386141608 -0.3386141608
