"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
30 1.7445917655 1.7445917655 1.7445917655 1.7445917655
176 1.7519271198 1.7519271198 1.7519271198 1.7519271198
198 1.9425019425 1.9425019425 1.9425019425 1.9425019425
2116 2.0016012810 2.0016012810 2.0016012810 2.0016012810
2707 2.0990764064 2.0990764064 2.0990764064 2.0990764064
9283 2.1061499579 2.1061499579 2.1061499579 2.1061499579
20630 2.1459227468 2.1459227468 2.1459227468 2.1459227468
21137 2.1872265967 2.1872265967 2.1872265967 2.1872265967
65152 2.3084025854 2.3084025854 2.3084025854 2.3084025854
100000 1.0715816545 2.3084025854 1.0715816545 2.3084025854
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.0208248265 1.0208248265 1.0208248265 1.0208248265
2 1.1590171535 1.1590171535 1.1590171535 1.1590171535
7 1.6371971185 1.6371971185 1.6371971185 1.6371971185
98 1.8698578908 1.8698578908 1.8698578908 1.8698578908
105 2.0850708924 2.0850708924 2.0850708924 2.0850708924
1697 2.1204410517 2.1204410517 2.1204410517 2.1204410517
22152 2.1240441801 2.1240441801 2.1240441801 2.1240441801
51256 2.3169601483 2.3169601483 2.3169601483 2.3169601483
62015 2.4061597690 2.4061597690 2.4061597690 2.4061597690
100000 1.6567263088 2.4061597690 1.6567263088 2.4061597690
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.4910626596 0.4910626596 0.4910626596 0.4910626596
2 1.2036591237 1.2036591237 1.2036591237 1.2036591237
3 1.4261266400 1.4261266400 1.4261266400 1.4261266400
21 1.6202203500 1.6202203500 1.6202203500 1.6202203500
82 1.6926201760 1.6926201760 1.6926201760 1.6926201760
461 1.7182130584 1.7182130584 1.7182130584 1.7182130584
496 1.7470300489 1.7470300489 1.7470300489 1.7470300489
651 1.7921146953 1.7921146953 1.7921146953 1.7921146953
1450 1.7946877243 1.7946877243 1.7946877243 1.7946877243
1820 1.8208302986 1.8208302986 1.8208302986 1.8208302986
2022 1.8368846436 1.8368846436 1.8368846436 1.8368846436
2543 2.0308692120 2.0308692120 2.0308692120 2.0308692120
16623 2.1872265967 2.1872265967 2.1872265967 2.1872265967
28471 2.2706630336 2.2706630336 2.2706630336 2.2706630336
100000 1.4392630973 2.2706630336 1.4392630973 2.2706630336
